NAME,TYPE,DECADE,MEDIA URL,DATE,DIMSENSIONS (CM)
Horatio Gates,Painting,1780-1789,https://ids.si.edu/ids/deliveryService?id=NPG-NPG_69_50,1782,58.4 x 48.3
Caldwell Sister,Miniature,1780-1789,https://ids.si.edu/ids/deliveryService?id=SAAM-1999.27.31.2_1,1782,4.1 x 3.1
Caldwell Sister,Miniature,1780-1789,https://ids.si.edu/ids/deliveryService?id=SAAM-1999.27.31.1_1,1782,4.1 x 3.1
"Benjamin Harrison, Jr.",Painting,1780-1789,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_65_109Harrison-000004,1783,76.2 x 33
Henry Knox,Painting,1780-1789,https://ids.si.edu/ids/deliveryService?id=NPG-NPG_73_11,1783,55.9 x 47.6
George Read,Painting,1780-1789,https://ids.si.edu/ids/deliveryService?id=NPG-NPG_72_4,1784,91.5 x 73.5
Samuel Blodget,Painting,1780-1789,https://ids.si.edu/ids/deliveryService?id=NPG-NPG_2013_29Blodget-000001,1784,91.8 x 71.1
Samuel Seabury,Painting,1780-1789,https://ids.si.edu/ids/deliveryService?id=NPG-NPG_84_171,1785,91.4 x 71.1
George Washington,Painting,1780-1789,https://ids.si.edu/ids/deliveryService?id=NPG-NPG_80_16GW-000001,1785,90.2 x 69.9
Benjamin Franklin,Painting,1780-1789,https://ids.si.edu/ids/deliveryService?id=NPG-NPG_87_43,1785,72.4 x 59.7
Robert Morris,Painting,1780-1789,https://ids.si.edu/ids/deliveryService?id=NPG-NPG_73_20,1785,92.4 x 74.6
Thomas Stone,Painting,1780-1789,https://ids.si.edu/ids/deliveryService?id=NPG-NPG_71_44,1785,67.5 x 53.3
Portrait of General Giles,Painting,1780-1789,https://ids.si.edu/ids/deliveryService?id=SAAM-1975.75_1,1785,75.2 x 63.9
Thomas Jefferson,Painting,1780-1789,https://ids.si.edu/ids/deliveryService?id=NPG-NPG_99_66Jefferson_d1,1786,90.8 × 72.4
James Smithson,Painting,1780-1789,https://ids.si.edu/ids/deliveryService?id=NPG-NPG_96_28Smithson1L-000001,1786,59.7 x 47
Thomas McKean,Painting,1780-1789,https://ids.si.edu/ids/deliveryService?id=NPG-NPG_66_63McKean-000003,1787,69.9 x 55.9
Mourning Ring for William Burnside,Miniature,1780-1789,https://ids.si.edu/ids/deliveryService?id=SAAM-1999.27.56_1,1788,2.8 x 1.4
John Ewing,Painting,1780-1789,https://ids.si.edu/ids/deliveryService?id=NPG-NPG_2001_15,1788,95.3 x 69.9
General John Cadwalader,Miniature,1780-1789,https://ids.si.edu/ids/deliveryService?id=SAAM-1999.27.30_1,1788,3.9 x 3.2
Alexander Rose,Miniature,1780-1789,https://ids.si.edu/ids/deliveryService?id=SAAM-1946.11.6_1,1788,4.1 x 3.2
Mrs. Alexander Rose (Margaret Smith),Miniature,1780-1789,https://ids.si.edu/ids/deliveryService?id=SAAM-1933.7.1_1,1788,5.1 x 4.0
Portrait of a Gentleman,Miniature,1780-1789,https://ids.si.edu/ids/deliveryService?id=SAAM-1999.27.36_1,1789,4.3 x 3.2
Col. Josiah Parker,Miniature,1780-1789,https://ids.si.edu/ids/deliveryService?id=SAAM-1957.3.3_1,1789,4.2 x 3.2
Josiah Hewes Anthony,Miniature,1790-1799,https://ids.si.edu/ids/deliveryService?id=SAAM-1952.12.2_1,1790,4.6 x 3.7 
Frederick Augustus Conrad Muhlenberg,Painting,1790-1799,https://ids.si.edu/ids/deliveryService?id=NPG-NPG_74_1,1790,119.5 x 94
